a great deal,nagyon sok
accept,elfogad
acquittal,felmentés
achieve,elér
add,hozzáad
admit,beismer
advance,előrehalad
advantage,előny
advise,tanácsol
afford,megengedhet magának
agree,egyetért
all of a sudden,hirtelen
anxious,ideges|szorongó
answer,válaszol|felel
ask,kérdez
attack,támad
aye-aye,értettem|igenis
be,lenni
be in danger,veszélyben van
become,válik valamivé
begin,kezd
believe,hisz
betray,elárul
blend,kever|elegyít
bookkeeping,könyvelés
break,eltör|megszakít|betör|megtör
bring,hoz|idehoz
build,épít
bully,zsarnok|zaklató
buy,vesz
by the way,egyébként
call,hív
calm down,nyugodj meg
cancel,lemond
care,törődik|érdekel
carry,hord|visz|elvisz
cast,dob|vet (árnyékot)|szereposztás
catch,elkap
change,változtat|megváltozik
challenge,kihívás
chase,üldöz
check,ellenőriz
choose,választ
clamp,szorító|csipesz
clash,összecsapás
clean,takarít
climb,mászik
close,bezár
collect,gyűjt
come,jön|idejön
compare,összehasonlít
complain,panaszkodik
complete,befejez
companion,társ|útitárs
continue,folytat
contradict,ellentmond
consume the planet,felemészti a bolygót
cook,főz
cost,kerül
count,számol
courage,bátorság
cover,befed
create,létrehoz
currency,valuta|pénznem
cut,vág
dance,táncol
danger,veszély
deal,üzlet|foglalkozik valamivel|bánik valamivel
decide,dönt|eldönt
defend,véd
defuse,hatástalanít
deliver,kiszállít
depend,függ
describe,leír
design,tervez
develop,fejleszt
die,meghal
disable,letilt
disadvantage,hátrány
discuss,megvitat
discover,felfedez
disturb,zavar|megzavar
do,csinál
donkey,szamár
draw,rajzol
drink,iszik
drive,vezet
drop,leejt|leesik
earn,keres (pénzt)
eat,eszik
element,elem
enemy,ellenség
encourage,bátorít
enjoy,élvez
enter,bemegy|belép
entry,bejegyzés
escape,megszökik
escort,kísér
expect,vár|elvár|számít
explain,magyaráz
explosive,robbanékony
fade,elhalványul|elhalkul
fail,megbukik|nem sikerül
fall,esik
fascinating,lenyűgöző|érdekes
fate,sors
fear,félelem
feast,lakoma
feather,toll
feel,érez
fencing,vívás|kerítés
ferry,komp
fight,harcol|veszekedik
fill,megtölt
find,talál
finish,befejez
fire,tűz
fix,megjavít
follow,követ
for a moment,egy pillanatra
forbid,megtilt
forget,elfelejt
forgive,megbocsát
frame,keret|váz
funeral,temetés
gasp,zihál|levegő után kap
gentle push,finom lökés
get,kap|szerez
give,ad|odaad
go,megy|elmegy
grow,nő|növekszik
guess,tippel
hall,csarnok
handle,kezel|megold
happen,történik
hate,gyűlöl
have,van|birtokol
hear,hall
help,segít
hide,elrejt
hit,üt
hold,tart
hope,remél
hurt,fáj|bánt
i dare,merem|kihívom
i need feeding,etetésre szorulok
imagine,elképzel
improve,javít|fejleszt
include,tartalmaz
increase,növel
insane,őrült
introduce,bemutat
invite,meghív
join,csatlakozik
job,munka
jump,ugrik
keep,tart|megőriz
keep going,folytatja
kick,rúg
kill,megöl
kin,rokonság
know,tud|ismer
laugh,nevet
learn,megtanul|elsajátít
leave,elhagy
lend,kölcsönad
let,enged
lie,fekszik|hazudik
light,fény
like,kedvel
listen,figyel|hallgat
live,él
look,néz
look around,körbenéz
look for,keres
lose,elveszít
love,szeret
magic,varázslat
magnificent,pompás|nagyszerű
make,készít|létrehoz
make a decision,döntést hoz
manage,sikerül|képes
mean,jelent|szándékozik
meet,találkozik
mention,említ
miss,lekésik|hiányzik
missile lock,rakétabefogás
modify,módosít
move,mozog|költözik
need,szüksége van
notice,észrevesz
obey,engedelmeskedik
obtain,megszerez
offer,felajánl
open,kinyit
order,rendel
own,birtokol
participate,részt vesz
pass,átmegy|elhalad
pay,fizet
pay attention,figyel
perceive,észlel|érzékel
pick,kiválaszt|felszed
pick up,felvesz
pigeon,galamb
plan,tervez
play,játszik
prefer,előnyben részesít
prepare,felkészül
promise,ígér
protect,véd
provide,biztosít
prosper,gyarapodik|virágzik
proportion,arány
pull,húz
purge,megtisztít
push,tol
put,tesz|helyez
put down,letesz
quickly,gyorsan
quietly,csendben
rapid,gyors
read,olvas
realize,rájön
receive,kap
recipient,címzett|átvevő
recognize,felismer
record,rögzít
reduce,csökkent
referring,utalva|hivatkozva
refuse,megtagad|visszautasít
repair,megjavít
repeat,ismétel|megismétel
replace,kicserél
report,jelent
require,megkövetel
rest,pihen
retreat,visszavonulás
return,visszatér
ride,lovagol|utazik
ring,csörög|felhív
rise,emelkedik
run,fut
run away,elfut
rude,udvariatlan|durva
save,megment|spórol
say,mond
search,keres
secret,titok
see,lát
seem,tűnik
sell,elad
send,küld
serve,kiszolgál
set,beállít|elhelyez
shadow,árnyék
share,megoszt
shift,eltolódik|vált
shoot,lő
shop,vásárol
show,mutat
shut,bezár
sing,énekel
sit,ül
sleep,alszik
slumber,szunyókálás
smile,mosolyog
soaked,csurom vizes
speak,beszél
spell,varázslat
spend,költ|tölt
spare,megkímél
spot on,telitalálat|pontosan így van
stand,áll
start,kezd
stay,marad
steal,lop
